Counter,Location,Experiment,Site,PID,Paired_PID,Species,Treatment,Lat_Deg,Lon_Deg,Date_01,Days_01,Diam_mm_01,Height_cm_01,DBH_01,Canopy_length_cm_01,Canopy_width_cm_01,Ground_cover_percent_01,Notes_01,Dead_01,Use_growth_01,Date_02,Days_02,Diam_mm_02,Height_cm_02,DBH_02,Canopy_length_cm_02,Canopy_width_cm_02,Ground_cover_percent_02,Notes_02,Dead_02,Use_growth_02,foliar_N_mg_g_02,foliar_C_mg_g_02,foliar_15N_AP_02,foliar_d15N_02,foliar_d13C_02,Date_03,Days_03,Diam_mm_03,Height_cm_03,DBH_03,Canopy_length_cm_03,Canopy_width_cm_03,Ground_cover_percent_03,Notes_03,Dead_03,Use_growth_03,foliar_N_mg_g_03,foliar_C_mg_g_03,foliar_15N_AP_03,foliar_d15N_03,foliar_d13C_03,Date_04,Days_04,Diam_mm_04,Height_cm_04,DBH_04,Canopy_length_cm_04,Canopy_width_cm_04,Ground_cover_percent_04,Notes_04,Dead_04,Use_growth_04,foliar_N_mg_g_04,foliar_C_mg_g_04,foliar_15N_AP_04,foliar_d15N_04,foliar_d13C_04,Date_05,Days_05,Diam_mm_05,Height_cm_05,DBH_05,Canopy_length_cm_05,Canopy_width_cm_05,Ground_cover_percent_05,Notes_05,Dead_05,Use_growth_05,Date_06,Days_06,foliar_N_mg_g_06,foliar_C_mg_g_06,foliar_15N_AP_06,foliar_d15N_06,foliar_d13C_06,Notes_06,Date_07,Days_07,Diam_mm_07,Height_cm_07,DBH_07,Canopy_length_cm_07,Canopy_width_cm_07,Ground_cover_percent_07,Notes_07,Dead_07,Use_growth_07,foliar_N_mg_g_07,foliar_C_mg_g_07,foliar_15N_AP_07,foliar_d15N_07,foliar_d13C_07,seedpod_N_mg_g_07,seedpod_C_mg_g_07,seedpod_15N_AP_07,seedpod_d15N_07,seedpod_d13C_07,disk_d15N_07,Date_08,Days_08,Diam_mm_08,Height_cm_08,DBH_08,DBH_stem2_08,DBH_stem3_08,Canopy_length_cm_08,Canopy_width_cm_08,Ground_cover_percent_08,Notes_08,Dead_08,Use_growth_08,foliar_N_mg_g_08,foliar_C_mg_g_08,foliar_15N_AP_08,foliar_d15N_08,foliar_d13C_08,Aboveground_harvest_date_08,Harvest_notes_08,Main_stem_g_dry_08,Twigs_g_dry_08,Leaves_g_dry_08,Secondary_stems_g_dry_08,Thorns_mg_dry_mainstem_08,Thorns_mg_dry_secondarystem_08,Thorns_mg_dry_twigs_08,Aboveground_mass_g_dry_08,Root_g_dry_08,Nodule_drymass_mg_08,Num_soil_cores_for_nodule_sampling_08,Coring_radius_for_nodule_sampling_m_08,Use_allometry_08,Allometry_notes_08,Biomass_g_dry_08,AGB_est_kg_01,AGB_est_kg_02,AGB_est_kg_03,AGB_est_kg_04,AGB_est_kg_05,AGB_est_kg_07,AGB_est_kg_08,BGB_est_kg_01,BGB_est_kg_02,BGB_est_kg_03,BGB_est_kg_04,BGB_est_kg_05,BGB_est_kg_07,BGB_est_kg_08,Biomass_est_kg_01,Biomass_est_kg_02,Biomass_est_kg_03,Biomass_est_kg_04,Biomass_est_kg_05,Biomass_est_kg_07,Biomass_est_kg_08
11,NY,FX,Turtle,11,12,BENI,MN,41.41914,74.02829,6/5/15,0,3.23,48.4,NA,NA,NA,NA,,0,0,10/19/16,502,7.11,48.26,NA,NA,NA,NA,looks dead,1,0,NA,NA,NA,NA,NA,6/1/17,727,NA,NA,NA,NA,NA,100,dead,1,0,NA,NA,NA,NA,NA,10/3/17,851,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,4/20/18,1050,NA,NA,NA,NA,NA,NA,dead,1,0,8/21/18,1173,NA,NA,NA,NA,NA,,9/13/18,1196,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/4/19,1582,NA,NA,NA,NA,NA,NA,NA,100,gone,1,0,NA,NA,NA,NA,NA,NA,gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,0.000346313,0.001429093,NA,NA,NA,NA,NA,0.000822689,0.002316825,NA,NA,NA,NA,NA,0.001154674,0.003746483,NA,NA,NA,NA,NA
12,NY,FX,Turtle,12,11,ROPS,MN,41.41917,74.02826,6/5/15,0,4.14,44.9,NA,NA,NA,NA,,0,1,10/19/16,502,44.34,279.4,22.16,NA,NA,NA,,0,1,37.26,479.09,0.59845,637.6,-32.1,6/1/17,727,48.85,310,NA,275,252,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,78.05,465,NA,300,305,100,has 1 seed pod,0,1,30.59370202,461.4970233,0.51182,399.3,-29,4/20/18,1050,83.19,466,NA,240,218,87.5,has 1 seed pod,0,0,8/21/18,1173,28,464.92,0.45172,234.2,-29.22,,9/13/18,1196,101.755,580,NA,360,370,62.5,"stem not circular, 109.61 diameter in one direction, 93.9 in the other",0,1,30.6,480.03,0.44159,206.4,-28.9,15.3,462.73,0.46678,275.6,-29.23,NA,10/4/19,1582,127.5042823,617,59.11,55.32,52.64,398,425,100,foliar chemistry values are averages of duplicate runs of the same sample,0,1,29.40011134,488.1113859,0.392004941,70.44109154,-29.69149847,10/11/19,,8704.643268,2986.644178,3640.940625,13451.70776,390,4374.668828,3869.339951,29173.93583,11281.28,53.872,5,2,1,,40455.21583,0.000596296,1.0626692,1.491669776,6.886200182,7.982759201,16.20929127,29.07929844,8.77E-05,0.294509141,0.410341432,2.041602623,2.539871347,5.062497485,10.96016564,0.000560493,1.269050234,1.80079214,8.730047055,10.16816022,21.11988146,38.60371593
13,NY,FX,Turtle,13,14,BENI,LN,41.4192,74.02837,8/13/15,0,9.82,30,NA,NA,NA,NA,post-chomp baseline; was 11.05 mm diam and 79.1 cm height on 6/5/2015,0,1,10/19/16,433,12.7,45.72,NA,NA,NA,NA,Small but has green foliage,0.5,1,25.38,484.14,1.10985,2052.6,-30.1,6/1/17,658,7,51,NA,22,18,100,Small but has green foliage,0.5,0,NA,NA,NA,NA,NA,10/3/17,782,10.95,74,NA,32,37,100,main stem died; just a small offshoot living; previously small,0.5,1,14.84215927,440.0241744,1.26669,2489.6,-30.3,4/20/18,981,12.3,72,NA,26,18,87.5,main stem died; just a small offshoot living; previously small,0.5,0,8/21/18,1104,23.7,461.01,0.53598,465.7,-29.77,,9/13/18,1127,19.4,95,NA,85,65,87.5,notes from last time: main stem died; just a small offshoot living; previously small,0,1,24.2,463.32,0.51496,407.9,-30.04,NA,NA,NA,NA,NA,438.4,10/4/19,1582,27.84,108,NA,NA,NA,61,57,100,,0,1,17.444082,479.005499,0.48521,326.2,-31.64,10/11/19,No secondary stems; all main or twigs and leaves,52.53933014,58.26659091,19.62261364,0,0,0,0,130.4285347,77.99,NA,3,1,0.3,,208.4185347,0.001760429,0.006375531,0.00269462,0.012309168,0.014271274,0.051790361,0.118431061,0.001750692,0.004592044,0.002463602,0.007719443,0.008638805,0.023764331,0.046270844,0.005087277,0.01434843,0.006963745,0.02420452,0.027611764,0.083881357,0.175681161
14,NY,FX,Turtle,14,13,ROPS,LN,41.41917,74.02839,8/13/15,0,4.56,35,NA,NA,NA,NA,post-chomp baseline; was 4.69 mm diam and 42.8 cm height on 6/5/2015,0,1,10/19/16,433,29.52,233.68,12.68,NA,NA,NA,,0,1,34.39,508.98,0.53358,459.1,-31.5,6/1/17,658,34.06,235,NA,177,165,100,,0,0,NA,NA,NA,NA,NA,10/3/17,782,54.65,355,NA,360,253,100,,0,1,30.91251511,456.5445791,0.42199,152.7,-27.4,4/20/18,981,58.44,344,NA,257,218,87.5,,0,0,8/21/18,1104,29.4,478.98,0.38943,63.4,-29.57,,9/13/18,1127,85.42,550,NA,340,340,62.5,,0,1,37.2,481,0.39483,78.2,-30.2,24.5,456.67,0.3817,42.2,-29.62,NA,10/4/19,1582,108.7774862,551,58.2,36.15,NA,357,365,100,,0,1,30.02491749,487.704942,0.37078,12.27,-29.69,10/11/19,,6830.325075,3699.910417,2497.966084,7815.015913,860,11210.88248,44932.49843,21703.21749,12072.66,17.968,5,2,1,,33775.87749,3.27E-05,0.131541505,0.202162141,1.494748535,1.738686504,10.61907099,21.70321749,0.000971516,0.250213963,0.382794734,1.560569212,1.904724102,5.885571072,12.07266,4.99E-05,0.203214783,0.312507765,2.317282972,2.696042074,16.50906389,33.77587749
15,NY,FX,Turtle,15,16,BENI,HN,41.41906,74.02845,8/13/15,0,4.67,23,NA,NA,NA,NA,post-chomp baseline; was 3.95 mm diam and 59.8 cm height on 6/5/2015,0,1,10/19/16,433,25.36,156.21,2.64,NA,NA,NA,,0,1,24.09068614,491.2985461,1.095162534,2011.802394,-31.27143174,6/1/17,658,28.38,173,NA,118,131,100,,0,0,NA,NA,NA,NA,NA,10/3/17,782,56.7,303,NA,170,158,100,bushy,0,1,20.06754121,452.7382803,0.91652,1516,-29,4/20/18,981,58.94,296,NA,156,152,87.5,,0,0,8/21/18,1104,21.7,498.81,0.73735,1020.5,-30.41,,9/13/18,1127,96.34,440,NA,270,290,37.5,"split at 10cm, 96.34 (base), 37.2 (stem2), 21.7 (stem2), 37.22 (stem3), 55.79 (stem4), 51.57 (stem5); spiders; previously listed as bushy",0.5,1,24.5,473.1,0.66764,828.2,-30.45,NA,NA,NA,NA,NA,541.64,10/4/19,1582,119.5330942,495,39.95,30.89,27.04,296,342,100,Not harvesting,0,1,26.65785865,507.3622473,0.4917,344.03,-28.7,NA,Not harvesting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0,,NA,0.000202668,0.159989574,0.228062713,1.640725761,1.671640481,6.167688683,9.839565438,0.000443181,0.070768728,0.095508333,0.546251988,0.555261714,1.91091059,3.024217033,0.000931959,0.227394203,0.31516301,2.114149028,2.160873812,8.327148015,13.80086169
16,NY,FX,Turtle,16,15,ROPS,HN,41.41904,74.02849,6/5/15,0,5.81,46,NA,NA,NA,NA,,0,1,10/19/16,502,44.89,307.34,22.07,NA,NA,NA,,0,1,33.16,499.4,0.93268,1560.8,-29.8,6/1/17,727,42.04,302,NA,203,195,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,75.85,515,NA,385,246,100,,0,1,31.27322676,454.7123655,0.67833,857.6,-27.5,4/20/18,1050,78.42,450,NA,242,208,87.5,,0,0,8/21/18,1173,37.8,488.09,0.49348,348.9,-30.45,,9/13/18,1196,113.86,650,NA,380,340,62.5,,0,1,27.4,472.27,0.47509,298.4,-27.06,16.7,470.59,0.5174,414.6,-27.92,NA,10/4/19,1582,120.8297811,604,73.03,47.88,NA,352,335,100,Not harvesting,0,0,23.35252264,471.7059021,0.44547,217.09,-25.85,NA,Not harvesting,NA,NA,NA,NA,NA,NA,NA,NA,NA,437.06,5,2,0,,NA,0.001592349,1.150428483,0.976936731,6.428346612,5.963557747,20.28006983,21.31846258,0.002326576,0.566209923,0.474705587,2.318263617,2.535429654,6.906312949,8.101891213,0.003128898,1.746537865,1.492680918,9.122922416,8.488236088,27.51375892,28.86599222
17,NY,FX,Turtle,17,18,BENI,HN,41.41893,74.02855,6/5/15,0,4.67,54.5,NA,NA,NA,NA,,0,1,10/19/16,502,12.37,77.47,NA,NA,NA,NA,,0,1,27.89,460.03,1.11737,2073.6,-31.4,6/1/17,727,16.13,90,NA,58,45,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,37.85,145,NA,115,105,95,,0,1,21.00316511,454.4889725,1.20318,2312.5,-28,4/20/18,1050,42.89,150,NA,114,92,87.5,,0,0,8/21/18,1173,35.8,479.7,0.65634,797,-30.34,,9/13/18,1196,79.44,255,NA,180,205,87.5,"split at base, 43.29 (stem1) + 36.15 (stem2)",0,1,25.3,477.78,0.62489,710.4,-30.77,NA,NA,NA,NA,NA,393.86,10/4/19,1582,62.84981941,233,15.39,NA,NA,136,149,100,"many stems at bh; no leaves on top but lots below; green height = 118 cm, length = 86 cm, width = 71 cm",0.5,0,34.50189565,463.3023921,0.54637,494.27,-32.58,10/11/19,,424.7574468,419.566037,76.76030041,354.168,0,0,0,1275.251784,542.05,NA,4,1.5,0.3,,1817.301784,0.001232363,0.01362626,0.028316475,0.265105189,0.342018943,2.048459608,1.25636901,0.001594914,0.009703011,0.017196324,0.10739918,0.133165901,0.65946286,0.423614889,0.003539933,0.026227302,0.049212141,0.369124166,0.469075772,2.682675411,1.642907301
18,NY,FX,Turtle,18,17,ROPS,HN,41.41887,74.02858,6/5/15,0,7.12,45.1,NA,NA,NA,NA,,0,1,10/19/16,502,39.34,266.7,18.11,NA,NA,NA,,0,1,32.59,505.98,0.86632,1377,-30.7,6/1/17,727,45.53,301,NA,266,190,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,78.35,455,NA,360,380,95,,0,1,35.92439466,465.7248426,0.63311,733,-28.5,4/20/18,1050,83.48,452,NA,258,295,87.5,,0,0,8/21/18,1173,33.4,467.3,0.43935,200.3,-29.29,,9/13/18,1196,122.91,690,NA,490,490,62.5,snapped,0.5,1,35.9,491,0.42145,151.2,-28.96,16.4,473.7,0.4551,243.5,-28.02,NA,10/4/19,1582,150.1731214,777,95.18,54.43,NA,538,542,100,a couple broken branches but healthy,0,1,33.38994894,482.4227994,0.3948,78.11,-29.28,10/11/19,,15589.34109,6816.248589,5719.569142,13277.83936,2100,4524.435093,5637.610476,43502.99818,13015.38,8.575,5,2,1,,56518.37818,0.002436317,0.736462267,1.15991161,6.024593653,6.875773441,25.62126722,45.34833663,0.004018067,0.397149132,0.588165004,2.529352315,2.999349633,8.482191171,14.53173452,0.004708135,1.137784926,1.760368365,8.57169035,9.732200737,34.44309489,59.61362807
19,NY,FX,Turtle,19,20,BENI,LN,41.41894,74.02869,6/5/15,0,5.11,52.3,NA,NA,NA,NA,dead,1,1,10/19/16,502,13.04,85.09,NA,NA,NA,NA,,0,1,17.26,487.01,0.61959,695.8,-32.6,6/1/17,727,18.81,85,NA,33,32,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,18,90,NA,50,46,100,,0,1,13.66141008,451.2676906,0.70804,939.6,-31.4,4/20/18,1050,18.58,88,NA,45,41,87.5,,0,0,8/21/18,1173,9.6,483.11,0.53671,467.7,-30.6,,9/13/18,1196,26.19,113,NA,55,65,87.5,,0,1,12.1,465.44,0.55193,509.6,-32.63,NA,NA,NA,NA,NA,NA,10/4/19,1582,28.74,125,NA,NA,NA,65,66,100,"has leaves, but lots of galls",0.5,1,16.45958776,478.009378,0.47754,305.13,-32.64,10/18/19,,35.03694268,122.4600689,14.74884041,18.17503937,0,0,0,190.4208913,66.39,NA,3,1,0.3,,256.8108913,0.001614493,0.021648139,0.04017644,0.041396813,0.041913995,0.115945966,0.160842322,0.001689276,0.011955655,0.019344097,0.019870433,0.020038654,0.045658308,0.059945021,0.004519526,0.039022304,0.067430344,0.068965478,0.069848595,0.171948576,0.231007688
20,NY,FX,Turtle,20,19,ROPS,LN,41.41896,74.02867,6/5/15,0,4,31.8,NA,NA,NA,NA,,0,1,10/19/16,502,20.89,200.66,12.92,NA,NA,NA,,0,1,31.57,512.03,0.44182,207.1,-30,6/1/17,727,24.17,209,NA,112,98,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,37.45,290,NA,171,167,100,,0,1,32.97382324,452.4838137,0.38405,48.6,-28.2,4/20/18,1050,40.3,261,NA,127,109,87.5,,0,0,8/21/18,1173,19.1,472.43,0.37357,19.9,-28.7,,9/13/18,1196,59.53,463,NA,285,250,87.5,,0,1,26.1,489.59,0.37117,13.3,-30.22,12.8,460.81,0.37265,17.4,-29.43,NA,10/4/19,1582,74.51238152,549,47.59,NA,NA,330,365,100,healthy,0,1,30.68269907,466.0460297,0.37901,34.82,-29.39,10/18/19,,3198.419316,1061.000444,1615.6968,1086.45122,120,NA,6956.388318,7081.56778,3921.46,24.271,4,1.5,1,,11003.02778,1.93E-05,0.037946642,0.061918808,0.364443721,0.387319894,2.843932709,7.08156778,0.000658143,0.089528376,0.138105565,0.507504323,0.631120389,2.01226681,3.92146,2.95E-05,0.058517957,0.095552997,0.563844875,0.599289964,4.412981669,11.00302778
21,NY,FX,Turtle,21,22,BENI,LN,41.41906,74.02861,6/5/15,0,8.88,59.5,NA,NA,NA,NA,chomped dead marked 8/13/2015,0.5,0,10/19/16,502,NA,NA,NA,NA,NA,NA,dead with wasp nest,1,0,NA,NA,NA,NA,NA,6/1/17,727,NA,NA,NA,NA,NA,100,dead,1,0,NA,NA,NA,NA,NA,10/3/17,851,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,4/20/18,1050,NA,NA,NA,NA,NA,NA,dead,1,0,8/21/18,1173,NA,NA,NA,NA,NA,,9/13/18,1196,NA,NA,NA,NA,NA,NA,dead,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/4/19,1582,NA,NA,NA,NA,NA,NA,NA,100,gone,1,0,NA,NA,NA,NA,NA,NA,gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,0.005590268,NA,NA,NA,NA,NA,NA,0.004237227,NA,NA,NA,NA,NA,NA,0.012621501,NA,NA,NA,NA,NA,NA
22,NY,FX,Turtle,22,21,ROPS,LN,41.41913,74.02859,6/5/15,0,4.09,32.1,NA,NA,NA,NA,,0,1,10/19/16,502,19.49,147.32,3.42,NA,NA,NA,,0,1,33.49,520.33,0.41621,136.8,-30.7,6/1/17,727,23.38,158,NA,121,103,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,43.4,241,NA,165,156,100,,0,1,32.82409377,462.01032,0.3876,58.4,-26.9,4/20/18,1050,46.1,226,NA,114,112,87.5,,0,0,8/21/18,1173,23,490.52,0.38744,57.9,-28.13,,9/13/18,1196,60.39,350,NA,250,255,37.5,,0,1,24.1,480.84,0.37834,33,-28.12,NA,NA,NA,NA,NA,NA,10/4/19,1582,62.18,362,25.06,21.69,NA,154,164,100,Not harvesting,0,0,NA,NA,NA,NA,NA,NA,Not harvesting,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.147,4,1.5,0,,NA,2.09E-05,0.01962183,0.037183269,0.428436413,0.465581689,1.964620498,2.250180496,0.000703139,0.0728484,0.125117117,0.786628761,0.941181427,2.099904309,2.290357281,3.19E-05,0.030230356,0.057339075,0.663004704,0.720573146,3.046915298,3.490469563
23,NY,FX,Turtle,23,24,BENI,PHN,41.41927,74.02848,6/5/15,0,9.08,69.1,NA,NA,NA,NA,,0,1,10/19/16,502,27.26,129.54,NA,NA,NA,NA,,0,1,25.55,500.75,0.86613,1376.4,-30.6,6/1/17,727,22.31,122,NA,90,85,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,70.2,205,NA,125,135,95,,0,1,21.94025488,460.0082697,0.94059,1582.7,-30.2,4/20/18,1050,70.99,207,NA,124,124,87.5,3 stems: 44.25 and 22.01 and 13.01,0,0,8/21/18,1173,29.5,479.15,0.54137,480.5,-28.91,,9/13/18,1196,107.2,360,NA,280,325,62.5,"split at base, 43.51 (stem1), 63.69 (stem2)",0,1,26.3,476.38,0.54861,500.4,-29.54,NA,NA,NA,NA,NA,NA,10/4/19,1582,141.9821607,440,43.35,31.53,21.36,350,305,100,two stems at base (see next line),0,1,26.75096551,494.5056782,0.44932,227.66,-27.71,10/18/19,,2377.095727,2891.668964,841.9307059,2510.622153,0,0,0,8621.31755,2877.73,NA,4,1.5,1,,11499.04755,0.006405732,0.129106608,0.084002186,1.212329944,1.251929231,5.30147527,10.48046731,0.005448228,0.058951798,0.041415679,0.40525461,0.417244758,1.633051112,3.185466913,0.01403105,0.192404752,0.129901236,1.61343803,1.665530159,7.26722563,15.09830223
24,NY,FX,Turtle,24,23,ROPS,PHN,41.41931,74.02849,6/5/15,0,3.64,32.2,NA,NA,NA,NA,bad shape,0.5,1,10/19/16,502,25.23,147.32,4.02,NA,NA,NA,was listed as bad shape in 6/5/2015 but seems fine now,0,1,39.17,479.15,1.09505,2011.5,-30.2,6/1/17,727,29.55,168,NA,105,85,100,was listed as bad shape in 6/5/2015 but has been fine since,0,0,NA,NA,NA,NA,NA,10/3/17,851,50,225,NA,155,140,100,was listed as bad shape in 6/5/2015 but has been fine since,0,1,34.59467286,474.1078836,0.68547,877.3,-28.3,4/20/18,1050,32.9,222,NA,115,118,87.5,was listed as bad shape in 6/5/2015 but has been fine since,0,0,8/21/18,1173,35,499.04,0.71705,964.5,-26.87,,9/13/18,1196,44.23,220,NA,125,120,62.5,weird dead leaves; was listed as bad shape in 6/5/2015 but has been fine since until this time,0.5,0,55.7,459.47,0.74757,1048.7,-24.02,NA,NA,NA,NA,NA,NA,10/4/19,1582,NA,NA,NA,NA,NA,NA,NA,100,gone,1,0,NA,NA,NA,NA,NA,NA,gone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,,NA,0.004320779,0.534593877,0.79734036,2.649360755,1.239154688,2.085762421,NA,0.004066163,0.268227261,0.377592583,1.178288981,0.476362404,0.903702153,NA,0.009111388,0.841285655,1.224664195,3.783005068,1.852966509,3.021832901,NA
25,NY,FX,Turtle,25,26,BENI,MN,41.41942,74.02836,6/5/15,0,3.8,52.5,NA,NA,NA,NA,,0,1,10/19/16,502,26.7,194.31,7.05,NA,NA,NA,,0,1,16.88295118,488.651257,0.826662185,1267.245618,-30.53894614,6/1/17,727,24.1,200,NA,107,105,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,48.1,263,NA,130,125,100,lots of leaf galls,0.5,1,9.647208227,465.3195614,1.3646,2763,-29.7,4/20/18,1050,48.58,253,NA,128,104,87.5,lots of leaf galls,0.5,0,8/21/18,1173,15.97145385,491.7229111,0.65464,792.34,-29.71,,9/13/18,1196,74.33,350,NA,220,220,37.5,"78.59 (direction1), 70.07 (direction2); lots of leaf galls",0.5,1,16.9,494.6,0.58034,587.7,-32.12,NA,NA,NA,NA,NA,NA,10/4/19,1582,71.62454537,342,40.57,NA,NA,176,180,100,"no leaves on top, many down below; foliar chemistry values are averages of two duplicate runs from the same sample; green height = 254 cm, length = 123 cm, width = 152 cm",0.5,0,27.41655912,494.4544408,0.56385,542.35,-31.33,10/18/19,,1398.944563,294.7931025,134.1915333,97.89493333,0,0,0,1925.824133,511.16,NA,4,1.5,0.3,,2436.984133,0.000552213,0.178067548,0.16019746,0.719146649,0.684981689,2.124300794,1.944448336,0.001149896,0.104714685,0.095496002,0.356442926,0.340943397,0.966691349,0.889537068,0.001670233,0.234348871,0.210197748,0.903678689,0.863829495,2.698041307,2.46264917
26,NY,FX,Turtle,26,25,ROPS,MN,41.41946,74.0284,6/5/15,0,6.45,39.2,NA,NA,NA,NA,,0,1,10/19/16,502,26.6,220.98,10.79,NA,NA,NA,,0,1,35.32,461.89,0.95165,1613.3,-29.8,6/1/17,727,29.8,240,NA,155,125,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,44.45,365,NA,217,180,95,,0,1,34.14183455,469.6721866,0.54431,488.6,-29.3,4/20/18,1050,45.45,365,NA,118,146,87.5,,0,0,8/21/18,1173,38.1343735,487.1928534,0.46768,278.07,-29.51,,9/13/18,1196,45.78,350,NA,150,130,87.5,dead (new this time),1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/4/19,1582,38.24,189,18.82,NA,NA,37,18,100,no leaves/dead; no green height etc.,1,0,NA,NA,NA,NA,NA,NA,No leaves/dead,397.9859534,80.39423423,0,0,NA,NA,NA,478.3801876,239.09,0,3,1,0.1,,717.4701876,0.001402937,0.253925585,0.361382595,1.449035087,1.52438297,1.47737334,0.48588799,0.000400265,0.051197714,0.075539753,0.297018387,0.320528812,0.328567911,0.177421962,0.001355285,0.289670368,0.416933191,1.747700539,1.841561819,1.782983771,0.565909948
27,NY,FX,Turtle,27,28,BENI,HN,41.41952,74.02855,8/13/15,0,5.08,38,NA,NA,NA,NA,post-chomp baseline; was 4.86 mm diam and 56.5 cm height on 6/5/2015,0,1,10/19/16,433,22.94,115.57,NA,NA,NA,NA,,0,1,28.11053163,528.6019112,1.24307,2423.7,-29.3,6/1/17,658,25.52,137,NA,109,102,100,,0,0,NA,NA,NA,NA,NA,10/3/17,782,37,194,NA,156,155,100,,0,1,27.26852211,470.8686962,1.0855,1984.9,-26.9,4/20/18,981,64.1,190,NA,128,142,87.5,2 stems: 31.19 and 17.2,0,0,8/21/18,1104,16.50373759,494.8868004,0.66832,830.05,-27.63,,9/13/18,1127,67.93,238,NA,220,190,37.5,"47.29 (stem1), 20.64 (stem2); spiders",0.5,1,17.4,487.38,0.66566,822.7,-28.45,NA,NA,NA,NA,NA,415.18,10/4/19,1582,53.31095572,272,14.9,14.3,13.42,165,175,100,,0,0,26.96202841,509.0594446,0.4997,366.01,-28.45,10/18/19,,491.6442348,559.3563201,218.5487135,263.6144655,0,0,0,1533.163734,583.29,NA,4,1.5,1,,2116.453734,0.00067718,0.079914112,0.128277745,0.417751764,0.937742031,1.458953266,1.261027257,0.001043323,0.039645643,0.058728305,0.160576017,0.321160295,0.484329018,0.429085851,0.002298508,0.122777156,0.187374607,0.559744788,1.234120009,1.90733213,1.631335816
28,NY,FX,Turtle,28,27,ROPS,HN,41.41956,74.02861,6/5/15,0,2.94,28.7,NA,NA,NA,NA,,0,1,10/19/16,502,25.3,236.22,11.09,NA,NA,NA,,0,1,35.29021009,501.7602234,0.99182,1724.8,-31.2,6/1/17,727,27.62,255,NA,143,135,100,,0,0,NA,NA,NA,NA,NA,10/3/17,851,47.9,295,NA,233,220,95,,0,1,27.34760622,469.2074031,0.74697,1047,-30.6,4/20/18,1050,51.64,272,NA,135,172,87.5,,0,0,8/21/18,1173,26.89749212,485.0003927,0.5225,428.64,-29.55,,9/13/18,1196,72.61,427,NA,310,330,37.5,,0,1,28.7,484.85,0.51549,409.4,-29.07,21.4,465.81,0.62289,704.9,-28.89,NA,10/4/19,1582,75.16400202,421,32.39,NA,NA,164,185,100,no leaves; many stems at bh; no green height etc.,0.5,0,NA,NA,NA,NA,NA,10/18/19,No leaves,1939.427799,1104.959371,0,227.5017677,1670,1513.047138,44736.30837,4941.888938,826.36,0,4,1.5,0.1,,5768.248938,0.000212073,0.244202335,0.322133297,1.268414441,1.36864385,4.75298795,5.049134965,0.000373021,0.121271589,0.153516146,0.674096008,0.825019798,2.061644149,2.262348612,0.000450972,0.393955158,0.514065784,1.918305964,2.063729444,6.825592911,7.233723819
